02/29 09:06:00 PM | # START #
02/29 09:06:00 PM | Args = Namespace(batch_size=64, data='./data/processed/processed_cleaned_df.csv', debug=False, dropout=0.3, epochs=100, f='/home/killko/.local/share/jupyter/runtime/kernel-66f7bd17-811d-463f-b5ee-d7e18a06df89.json', gpu=0, hidden_size=300, input_size=[33], layers=8, learning_rate=0.001, log_freq=30, model_path='./model/drugs-EXP-20200229-210502/drugs-EXP-20200229-210502.model', num_of_layers=1, number_of_layers=10, output_size=[1], samples=20, save='./model/drugs-EXP-20200229-210502', seed=1, test_portion=0.2, train_window=12, weight_decay=0.0001)
02/29 09:06:00 PM | ## Creating model and criterion ##
02/29 09:06:01 PM | ## Getting and possibly pre-processing data ##
02/29 09:06:01 PM | ## Beginning training ##
02/29 09:06:01 PM | ### Start to train weights for 100 epochs #### 
02/29 09:06:01 PM | #### Training weights for epoch 0 #### 
02/29 09:06:01 PM | #### Train: [  1/100] Step 030/3950 MSE 1.8747+-0.00000
02/29 09:06:01 PM | #### Train: [  1/100] Step 060/3950 MSE 0.9708+-0.00000
02/29 09:06:01 PM | #### Train: [  1/100] Step 090/3950 MSE 0.6553+-0.00000
02/29 09:06:01 PM | #### Train: [  1/100] Step 120/3950 MSE 0.4962+-0.00000
02/29 09:06:01 PM | #### Train: [  1/100] Step 150/3950 MSE 0.4002+-0.00000
02/29 09:06:01 PM | #### Train: [  1/100] Step 180/3950 MSE 0.3363+-0.00000
02/29 09:06:01 PM | #### Train: [  1/100] Step 210/3950 MSE 0.2904+-0.00000
02/29 09:06:02 PM | #### Train: [  1/100] Step 240/3950 MSE 0.2559+-0.00000
02/29 09:06:02 PM | #### Train: [  1/100] Step 270/3950 MSE 0.2291+-0.00000
02/29 09:06:02 PM | #### Train: [  1/100] Step 300/3950 MSE 0.2076+-0.00000
02/29 09:06:02 PM | #### Train: [  1/100] Step 330/3950 MSE 0.1900+-0.00000
02/29 09:06:02 PM | #### Train: [  1/100] Step 360/3950 MSE 0.1753+-0.00000
02/29 09:06:02 PM | #### Train: [  1/100] Step 390/3950 MSE 0.1628+-0.00000
02/29 09:06:02 PM | #### Train: [  1/100] Step 420/3950 MSE 0.1521+-0.00000
02/29 09:06:02 PM | #### Train: [  1/100] Step 450/3950 MSE 0.1430+-0.00000
02/29 09:06:02 PM | #### Train: [  1/100] Step 480/3950 MSE 0.1349+-0.00000
