File: 120302.csv(array([0.40833753]), array([3.41277794e-09]))
File: 090402.csv(array([0.22512334]), array([0.00159975]))
File: 020504.csv(array([0.46065142]), array([1.39427682e-11]))
File: 2137.csv(array([0.15879137]), array([0.02700365]))
File: 2123.csv(array([0.49619465]), array([1.87737302e-13]))
File: 080201.csv(array([0.59988874]), array([2.39734775e-20]))
File: 2335.csv(array([0.40856862]), array([3.3375602e-09]))
File: 010607.csv(array([0.34953351]), array([5.86996728e-07]))
File: 2122.csv(array([0.31086999]), array([1.02542353e-05]))
File: 2136.csv(array([0.06996492]), array([0.33235093]))
File: 190205.csv(array([0.22211509]), array([0.00185392]))
File: 020505.csv(array([0.72464787]), array([7.08154058e-33]))
File: 0912.csv(array([-0.03674231]), array([0.6110146]))
File: 0906.csv(array([0.57721662]), array([1.25574549e-18]))
File: 120303.csv(array([-0.21972193]), array([0.00208184]))
File: 030104.csv(array([0.15695317]), array([0.02884922]))
File: 090601.csv(array([0.01451693]), array([0.84077568]))
File: 120101.csv(array([0.51854306]), array([9.58446332e-15]))
File: 020101.csv(array([0.65315934]), array([5.65507802e-25]))
File: 120103.csv(array([-0.06770102]), array([0.3482707]))
File: 090603.csv(array([0.20809833]), array([0.00359483]))
File: 120301.csv(array([0.40193963]), array([6.2829691e-09]))
File: 090401.csv(array([0.45313779]), array([3.25801146e-11]))
File: 0910.csv(array([0.15738977]), array([0.02840138]))
File: 0904.csv(array([0.3148142]), array([7.79560581e-06]))
File: 190207.csv(array([-0.00235424]), array([0.97401035]))
File: 2120.csv(array([0.46036868]), array([1.44006756e-11]))
File: 2134.csv(array([0.05933199]), array([0.41120057]))
File: 130502.csv(array([0.50719035]), array([4.46326719e-14]))
File: 010605.csv(array([0.20709638]), array([0.00376323]))
File: 080202.csv(array([0.38011459]), array([4.58332941e-08]))
File: 010604.csv(array([0.5289323]), array([2.22848918e-15]))
File: 130503.csv(array([0.05742847]), array([0.42639628]))
File: 2121.csv(array([0.38350118]), array([3.3989815e-08]))
File: 0905.csv(array([0.27027411]), array([0.00013822]))
File: 0911.csv(array([0.17412078]), array([0.01517706]))
File: 090602.csv(array([0.19494472]), array([0.00645156]))
File: 2280.csv(array([0.42056629]), array([1.02492604e-09]))
File: 2290.csv(array([0.25101532]), array([0.00041503]))
File: 040802.csv(array([0.25921288]), array([0.00026258]))
File: 030301.csv(array([0.2438529]), array([0.00061164]))
File: 100201.csv(array([0.29761706]), array([2.5040395e-05]))
File: 090606.csv(array([0.17880966]), array([0.01261088]))
File: 120304.csv(array([-0.0164329]), array([0.82009718]))
File: 030103.csv(array([0.32155372]), array([4.83582403e-06]))
File: 1202.csv(array([0.51991342]), array([7.92926118e-15]))
File: 020502.csv(array([0.26474311]), array([0.00019118]))
File: 0901.csv(array([0.19834778]), array([0.00556428]))
File: 010402.csv(array([0.67614982]), array([2.84532451e-27]))
File: 2119.csv(array([0.24726193]), array([0.00050927]))
File: 090202.csv(array([0.18674947]), array([0.00912627]))
File: 110402.csv(array([0.07088923]), array([0.32598742]))
File: 1404.csv(array([0.7119816]), array([2.66292362e-31]))
File: 010601.csv(array([0.55019556]), array([9.58462834e-17]))
File: 2118.csv(array([0.07017151]), array([0.33092178]))
File: 2130.csv(array([0.36211008]), array([2.12370926e-07]))
File: 2124.csv(array([-0.1534893]), array([0.03262073]))
File: 0109.csv(array([0.71844303]), array([4.2913537e-32]))
File: 1203.csv(array([0.26184437]), array([0.00022597]))
File: 120305.csv(array([0.33376103]), array([1.9766688e-06]))
